Media,Tweet,Date & Time (UTC),Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
@BBCWorld,Minnesota town alerts residents over 'tipsy' birds https://t.co/wiRkFLFnef,Thu Oct 04 16:07:21 +0000 2018,0.0,0.0,0.0,1.0,1
@BBCWorld,"Staff working to keep Palu's airport open after Indonesia earthquake

[Tap to expand]

https://t.co/vcJMb3dkLR https://t.co/K4FvOzvcr8",Thu Oct 04 15:51:25 +0000 2018,0.0,0.0,0.0,1.0,2
@BBCWorld,"Senators spar over FBI report on Kavanaugh 

https://t.co/YmCqFgLyIA https://t.co/Rq0OIGBLjf",Thu Oct 04 15:47:34 +0000 2018,0.0,0.0,0.0,1.0,3
@BBCWorld,Archibald Knox exhibition: Liberty designer's 'sheer genius' celebrated https://t.co/aY3INXmfzo,Thu Oct 04 15:32:53 +0000 2018,0.7964,0.504,0.0,0.496,4
@BBCWorld,"""Without zoos nature will be doomed"" - @NatGeo photographer Joel Sartore responds to those who say keeping animals… https://t.co/u8tmQe8XiP",Thu Oct 04 15:03:11 +0000 2018,-0.6369,0.0,0.198,0.802,5
@BBCWorld,RT @BBCTech: Fitbit data used to charge US man with murder https://t.co/lMl2Q36Dcu,Thu Oct 04 15:01:34 +0000 2018,-0.6908,0.0,0.299,0.701,6
@BBCWorld,RT @bbcworldservice: The first 'exomoon' (that's a moon outside our Solar System for non-space experts) may have been found. Here's @david_…,Thu Oct 04 14:37:12 +0000 2018,0.0,0.0,0.0,1.0,7
@BBCWorld,"Julia Roberts: If Brett Kavanaugh gets on to the Supreme Court it ""will affect our children and our children's chil… https://t.co/ZvXI2T7Gp8",Thu Oct 04 14:33:59 +0000 2018,0.5574,0.153,0.0,0.847,8
@BBCWorld,Drew Barrymore: 'Surreal' article defended by EgyptAir https://t.co/weLSVAZGyd,Thu Oct 04 14:25:09 +0000 2018,0.0,0.0,0.0,1.0,9
@BBCWorld,How credible are lie detector tests? https://t.co/0MvQtC3LaM,Thu Oct 04 14:12:06 +0000 2018,0.0,0.0,0.0,1.0,10
@BBCWorld,"The staff working tirelessly to keep Palu's barely functional airport open, following the city's deadly earthquake… https://t.co/Vxd1Iu4d3B",Thu Oct 04 14:02:04 +0000 2018,0.0,0.0,0.0,1.0,11
